year,max_laden_wt,type,number
2004,<= 3500 kg,Lorries,29282
2004,<= 3500 kg,Tippers,0
2004,<= 3500 kg,Vans,54183
2004,<= 3500 kg,Goods-cum Passengers,5855
2004,<= 3500 kg,Articulated Vehicles,0
2004,<= 3500 kg,Cement Mixers,0
2004,<= 3500 kg,Tankers,11
2004,<= 3500 kg,Cranes,15
2004,<= 3500 kg,Recovery Vehicles,123
2004,<= 3500 kg,Refrigerated Vehicles,974
2004,<= 3500 kg,Others,74
2004,3501 - 7000kg,Lorries,12767
2004,3501 - 7000kg,Tippers,296
2004,3501 - 7000kg,Vans,4191
2004,3501 - 7000kg,Goods-cum Passengers,62
2004,3501 - 7000kg,Articulated Vehicles,0
2004,3501 - 7000kg,Cement Mixers,0
2004,3501 - 7000kg,Tankers,6
2004,3501 - 7000kg,Cranes,0
2004,3501 - 7000kg,Recovery Vehicles,114
2004,3501 - 7000kg,Refrigerated Vehicles,1323
2004,3501 - 7000kg,Others,77
2004,7001 - 11000kg,Lorries,2901
2004,7001 - 11000kg,Tippers,126
2004,7001 - 11000kg,Vans,1443
2004,7001 - 11000kg,Goods-cum Passengers,0
2004,7001 - 11000kg,Articulated Vehicles,0
2004,7001 - 11000kg,Cement Mixers,0
2004,7001 - 11000kg,Tankers,40
2004,7001 - 11000kg,Cranes,5
2004,7001 - 11000kg,Recovery Vehicles,97
2004,7001 - 11000kg,Refrigerated Vehicles,125
2004,7001 - 11000kg,Others,74
2004,11001-16000kg,Lorries,1508
2004,11001-16000kg,Tippers,222
2004,11001-16000kg,Vans,214
2004,11001-16000kg,Goods-cum Passengers,0
2004,11001-16000kg,Articulated Vehicles,0
2004,11001-16000kg,Cement Mixers,0
2004,11001-16000kg,Tankers,68
2004,11001-16000kg,Cranes,1
2004,11001-16000kg,Recovery Vehicles,26
2004,11001-16000kg,Refrigerated Vehicles,128
2004,11001-16000kg,Others,275
2004,16001-20000kg,Lorries,13
2004,16001-20000kg,Tippers,0
2004,16001-20000kg,Vans,0
2004,16001-20000kg,Goods-cum Passengers,0
2004,16001-20000kg,Articulated Vehicles,0
2004,16001-20000kg,Cement Mixers,0
2004,16001-20000kg,Tankers,0
2004,16001-20000kg,Cranes,1
2004,16001-20000kg,Recovery Vehicles,0
2004,16001-20000kg,Refrigerated Vehicles,0
2004,16001-20000kg,Others,2
2004,20001-26000kg,Lorries,1533
2004,20001-26000kg,Tippers,2402
2004,20001-26000kg,Vans,2
2004,20001-26000kg,Goods-cum Passengers,0
2004,20001-26000kg,Articulated Vehicles,5
2004,20001-26000kg,Cement Mixers,904
2004,20001-26000kg,Tankers,340
2004,20001-26000kg,Cranes,94
2004,20001-26000kg,Recovery Vehicles,31
2004,20001-26000kg,Refrigerated Vehicles,5
2004,20001-26000kg,Others,783
2004,26001-32000kg,Lorries,117
2004,26001-32000kg,Tippers,6
2004,26001-32000kg,Vans,0
2004,26001-32000kg,Goods-cum Passengers,0
2004,26001-32000kg,Articulated Vehicles,0
2004,26001-32000kg,Cement Mixers,46
2004,26001-32000kg,Tankers,35
2004,26001-32000kg,Cranes,17
2004,26001-32000kg,Recovery Vehicles,1
2004,26001-32000kg,Refrigerated Vehicles,0
2004,26001-32000kg,Others,51
2004,32001-40000kg,Lorries,0
2004,32001-40000kg,Tippers,0
2004,32001-40000kg,Vans,0
2004,32001-40000kg,Goods-cum Passengers,0
2004,32001-40000kg,Articulated Vehicles,23
2004,32001-40000kg,Cement Mixers,0
2004,32001-40000kg,Tankers,1
2004,32001-40000kg,Cranes,40
2004,32001-40000kg,Recovery Vehicles,4
2004,32001-40000kg,Refrigerated Vehicles,0
2004,32001-40000kg,Others,0
2004,40001-50000kg,Lorries,0
2004,40001-50000kg,Tippers,0
2004,40001-50000kg,Vans,0
2004,40001-50000kg,Goods-cum Passengers,0
2004,40001-50000kg,Articulated Vehicles,3189
2004,40001-50000kg,Cement Mixers,0
2004,40001-50000kg,Tankers,0
2004,40001-50000kg,Cranes,144
2004,40001-50000kg,Recovery Vehicles,3
2004,40001-50000kg,Refrigerated Vehicles,0
2004,40001-50000kg,Others,0
2004,> 55000kg,Lorries,0
2004,> 55000kg,Tippers,0
2004,> 55000kg,Vans,0
2004,> 55000kg,Goods-cum Passengers,0
2004,> 55000kg,Articulated Vehicles,299
2004,> 55000kg,Cement Mixers,0
2004,> 55000kg,Tankers,0
2004,> 55000kg,Cranes,9
2004,> 55000kg,Recovery Vehicles,3
2004,> 55000kg,Refrigerated Vehicles,0
2004,> 55000kg,Others,0
2005,<= 3500 kg,Lorries,29106
2005,<= 3500 kg,Tippers,0
2005,<= 3500 kg,Vans,55528
2005,<= 3500 kg,Goods-cum Passengers,5644
2005,<= 3500 kg,Articulated Vehicles,0
2005,<= 3500 kg,Cement Mixers,0
2005,<= 3500 kg,Tankers,10
2005,<= 3500 kg,Cranes,15
2005,<= 3500 kg,Recovery Vehicles,114
2005,<= 3500 kg,Refrigerated Vehicles,1044
2005,<= 3500 kg,Others,74
2005,3501 - 7000kg,Lorries,13124
2005,3501 - 7000kg,Tippers,278
2005,3501 - 7000kg,Vans,4329
2005,3501 - 7000kg,Goods-cum Passengers,53
2005,3501 - 7000kg,Articulated Vehicles,0
2005,3501 - 7000kg,Cement Mixers,0
2005,3501 - 7000kg,Tankers,9
2005,3501 - 7000kg,Cranes,0
2005,3501 - 7000kg,Recovery Vehicles,110
2005,3501 - 7000kg,Refrigerated Vehicles,1393
2005,3501 - 7000kg,Others,101
2005,7001 - 11000kg,Lorries,2937
2005,7001 - 11000kg,Tippers,114
2005,7001 - 11000kg,Vans,1536
2005,7001 - 11000kg,Goods-cum Passengers,0
2005,7001 - 11000kg,Articulated Vehicles,0
2005,7001 - 11000kg,Cement Mixers,0
2005,7001 - 11000kg,Tankers,51
2005,7001 - 11000kg,Cranes,5
2005,7001 - 11000kg,Recovery Vehicles,98
2005,7001 - 11000kg,Refrigerated Vehicles,125
2005,7001 - 11000kg,Others,59
2005,11001-16000kg,Lorries,1554
2005,11001-16000kg,Tippers,197
2005,11001-16000kg,Vans,237
2005,11001-16000kg,Goods-cum Passengers,0
2005,11001-16000kg,Articulated Vehicles,0
2005,11001-16000kg,Cement Mixers,0
2005,11001-16000kg,Tankers,77
2005,11001-16000kg,Cranes,1
2005,11001-16000kg,Recovery Vehicles,24
2005,11001-16000kg,Refrigerated Vehicles,140
2005,11001-16000kg,Others,257
2005,16001-20000kg,Lorries,5
2005,16001-20000kg,Tippers,1
2005,16001-20000kg,Vans,0
2005,16001-20000kg,Goods-cum Passengers,0
2005,16001-20000kg,Articulated Vehicles,0
2005,16001-20000kg,Cement Mixers,0
2005,16001-20000kg,Tankers,1
2005,16001-20000kg,Cranes,1
2005,16001-20000kg,Recovery Vehicles,0
2005,16001-20000kg,Refrigerated Vehicles,0
2005,16001-20000kg,Others,11
2005,20001-26000kg,Lorries,1463
2005,20001-26000kg,Tippers,1561
2005,20001-26000kg,Vans,3
2005,20001-26000kg,Goods-cum Passengers,0
2005,20001-26000kg,Articulated Vehicles,2
2005,20001-26000kg,Cement Mixers,792
2005,20001-26000kg,Tankers,312
2005,20001-26000kg,Cranes,72
2005,20001-26000kg,Recovery Vehicles,33
2005,20001-26000kg,Refrigerated Vehicles,6
2005,20001-26000kg,Others,738
2005,26001-32000kg,Lorries,181
2005,26001-32000kg,Tippers,576
2005,26001-32000kg,Vans,0
2005,26001-32000kg,Goods-cum Passengers,0
2005,26001-32000kg,Articulated Vehicles,1
2005,26001-32000kg,Cement Mixers,31
2005,26001-32000kg,Tankers,43
2005,26001-32000kg,Cranes,19
2005,26001-32000kg,Recovery Vehicles,2
2005,26001-32000kg,Refrigerated Vehicles,0
2005,26001-32000kg,Others,86
2005,32001-40000kg,Lorries,14
2005,32001-40000kg,Tippers,0
2005,32001-40000kg,Vans,0
2005,32001-40000kg,Goods-cum Passengers,0
2005,32001-40000kg,Articulated Vehicles,2
2005,32001-40000kg,Cement Mixers,21
2005,32001-40000kg,Tankers,7
2005,32001-40000kg,Cranes,50
2005,32001-40000kg,Recovery Vehicles,0
2005,32001-40000kg,Refrigerated Vehicles,0
2005,32001-40000kg,Others,9
2005,40001-50000kg,Lorries,0
2005,40001-50000kg,Tippers,0
2005,40001-50000kg,Vans,0
2005,40001-50000kg,Goods-cum Passengers,0
2005,40001-50000kg,Articulated Vehicles,3277
2005,40001-50000kg,Cement Mixers,0
2005,40001-50000kg,Tankers,0
